"id"	"Reporter.intensity.corrected.1.TMT1"	"Reporter.intensity.corrected.2.TMT1"	"Reporter.intensity.corrected.3.TMT1"	"Reporter.intensity.corrected.4.TMT1"	"Reporter.intensity.corrected.5.TMT1"	"Reporter.intensity.corrected.6.TMT1"	"Reporter.intensity.corrected.1.TMT2"	"Reporter.intensity.corrected.2.TMT2"	"Reporter.intensity.corrected.3.TMT2"	"Reporter.intensity.corrected.4.TMT2"	"Reporter.intensity.corrected.5.TMT2"	"Reporter.intensity.corrected.6.TMT2"
"Q99J95"	NA	NA	NA	NA	NA	NA	167430	185790	183880	122920	77308	179170
"E9Q704"	274553.333333333	181146.666666667	100547.666666667	39063	80248	65031.3333333333	24812	19068	26285	15232	19482	15885
"P97492"	155343.5	56648.5	124848	142326	272155	177082.5	313824.5	328677.5	251528.5	198362.5	191430.5	271205.5
"Q91V55"	1096506.66666667	1033486.66666667	988040	480783.333333333	1032043.33333333	718580	1619400	1923100	1301670	1623966.66666667	1365100	1397060
"Q8C489"	202820	170475	199980	138120	231385	145950	161340	206100	149730	164730	129040	202900
"Q8K0S5"	NA	NA	NA	NA	NA	NA	173960	139740	181340	84542	57878	190800
"Q99PI8"	179600	133890	180500	138290	289060	158130	92429	88863	99914	68046	30772	126630
"Q8C547"	107840	96118	66074	55792	77548	59913	186045	169305	189150	134433.5	105145	212940
"B9EHS4"	NA	NA	NA	NA	NA	NA	66520	54432	42283	51102	45722	33179
"A0A338P7D7"	2866547	3140321.5	1961648	1947733	3018919	2199035.5	713120	694090	691183.333333333	497210	358510	736466.666666667
"A2AKD7"	873100	823690	911686.666666667	532403.333333333	1118150	635636.666666667	222787	299355	238911.666666667	172517.333333333	114486.333333333	289960
"A0A0J9YTW0"	48621	71294	20009	12596	35803	27593	NA	NA	NA	NA	NA	NA
"A8R0U9"	146110	112630	117120	79482	123200	106620	NA	NA	NA	NA	NA	NA
"Q8BHK1"	248190	199190	278580	203490	267130	170240	56628	81070	67162	71366	36162	74720
