"id"	"Reporter.intensity.corrected.1.TMT3"	"Reporter.intensity.corrected.2.TMT3"	"Reporter.intensity.corrected.3.TMT3"	"Reporter.intensity.corrected.4.TMT3"	"Reporter.intensity.corrected.5.TMT3"	"Reporter.intensity.corrected.6.TMT3"	"Reporter.intensity.corrected.7.TMT3"	"Reporter.intensity.corrected.8.TMT3"	"Reporter.intensity.corrected.9.TMT3"	"Reporter.intensity.corrected.10.TMT3"	"Reporter.intensity.corrected.1.TMT4"	"Reporter.intensity.corrected.2.TMT4"	"Reporter.intensity.corrected.3.TMT4"	"Reporter.intensity.corrected.4.TMT4"	"Reporter.intensity.corrected.5.TMT4"	"Reporter.intensity.corrected.6.TMT4"	"Reporter.intensity.corrected.7.TMT4"	"Reporter.intensity.corrected.8.TMT4"	"Reporter.intensity.corrected.9.TMT4"	"Reporter.intensity.corrected.10.TMT4"
"Q9GZL7"	141136.333333333	124350.333333333	128817.333333333	237483.333333333	180713.333333333	189826.666666667	80909	87205.3333333333	86825.3333333333	113511.333333333	283273.333333333	318660	230227.666666667	146144	133422.666666667	132611	140447.666666667	118437.666666667	142752.666666667	185243.666666667
"O75051"	94435.6666666667	77788.3333333333	71359	342450	300230	325433.333333333	202000	181129	198490	180020	402020	406260	391800	59123.3333333333	60521.6666666667	64716.3333333333	217170.333333333	170837.666666667	201198.666666667	192130.333333333
"A0A0C4DGV9"	19703.3666666667	15748.4333333333	16907.7333333333	23895.5333333333	19811.2666666667	22506.1666666667	8154.6	7048.33333333333	6858.61	15804.1333333333	35417	38496.6666666667	33692.6666666667	22848.9666666667	22022.1	23170.7	12098.4333333333	9575.46666666667	10322.6333333333	25803.1
"Q2TAM5"	480030	413316.666666667	387766.666666667	222410	178570	197090	315010	284950	294800	236560	269573.333333333	268763.333333333	246606.666666667	392796.666666667	395993.333333333	422773.333333333	389693.333333333	323643.333333333	358480	270073.333333333
"O15231"	693960	579703.333333333	550423.333333333	659910	588290	607196.666666667	433860	471063.333333333	472090	518960	514416.666666667	526956.666666667	455343.333333333	408183.333333333	398856.666666667	422103.333333333	396450	338716.666666667	430906.666666667	406280
"H7C1R1"	11977	11483	11788	9417.2	8354.3	9799.6	9230	9826.2	11446	10087	8581.9	6643.2	3778.2	9067.9	8921.9	10033	9469.7	7816.4	10806	8094.3
"Q9NUS5"	12733	11634.5	9757.45	6068.75	5025.35	6658.6	5950.3	4496.2	4507.95	7457.95	7301.1	6185	13411	8795.3	7676.1	8909.7	5789.1	2352	3247	5189.3
"P00966"	1304200	1069366.66666667	1187933.33333333	556453.333333333	557103.333333333	490596.666666667	3159233.33333333	2616333.33333333	3149933.33333333	887213.333333333	825420	971083.333333333	681143.333333333	1614300	1597366.66666667	1671700	4416200	3603666.66666667	3665200	1332933.33333333
"P78406"	845436.666666667	720686.666666667	740026.666666667	396006.666666667	314896.666666667	338310	500876.666666667	439763.333333333	487293.333333333	341043.333333333	377996.666666667	399573.333333333	341696.666666667	704500	618290	689533.333333333	548200	451333.333333333	474476.666666667	356533.333333333
"E9PKP7"	531966.666666667	391956.666666667	409313.333333333	423013.333333333	395606.666666667	387580	298053.333333333	265876.666666667	263610	297106.666666667	373580	398470	311710	450523.333333333	416396.666666667	429840	233840	202163.333333333	235176.666666667	281340
"O14579"	626833.333333333	489436.666666667	449086.666666667	310770	273370	300910	308180	273190	280153.333333333	267343.333333333	397470	377716.666666667	317993.333333333	436993.333333333	428253.333333333	452360	318553.333333333	247366.666666667	306080	286763.333333333
"Q8WVT3"	59782.3333333333	54604.3333333333	55929	77554	58038.3333333333	65946.3333333333	57101.3333333333	53230.3333333333	54709	40723.3333333333	110656.333333333	120598.333333333	98732.6666666667	92511	74338.6666666667	89263.3333333333	100155.333333333	84731.3333333333	91628.6666666667	75802.6666666667
"B1ANH0"	466913.333333333	385976.666666667	403300	400256.666666667	337196.666666667	366013.333333333	321783.333333333	289616.666666667	319113.333333333	265996.666666667	467983.333333333	465563.333333333	274910	221234.666666667	205560	226975.333333333	339912.333333333	265905.333333333	294500.333333333	265409.333333333
"Q12830"	385600	340156.666666667	337906.666666667	82518	66339.3333333333	74650.3333333333	102475	108086	113219.666666667	98645	105969	125026	100920.666666667	344973.333333333	356660	371350	137015.333333333	115016	144153.333333333	144423.333333333
"O14908"	1264480	911916.666666667	978950	469250	429483.333333333	456036.666666667	1094140	966910	1101586.66666667	610513.333333333	583543.333333333	565476.666666667	412600	1243543.33333333	1125416.66666667	1304403.33333333	1336103.33333333	1112720	1243943.33333333	688920
