"id"	"Reporter.intensity.corrected.1.TMT1"	"Reporter.intensity.corrected.2.TMT1"	"Reporter.intensity.corrected.3.TMT1"	"Reporter.intensity.corrected.4.TMT1"	"Reporter.intensity.corrected.5.TMT1"	"Reporter.intensity.corrected.6.TMT1"	"Reporter.intensity.corrected.7.TMT1"	"Reporter.intensity.corrected.8.TMT1"	"Reporter.intensity.corrected.9.TMT1"	"Reporter.intensity.corrected.10.TMT1"
"6267"	5369720	5639580	5767290	2552330	7829400	4646150	7666680	5605210	3239750	8459550
"1811"	40666239	32615300	21854875	8671338	30714504	19739176	30524353	20599776	14143042	38696223
"3175"	493252	668963	587737	593115	437357	661359	492540	467290	841566	533301
"3243"	22091	5716.1	3912.1	4199.2	10156	11597	7032.1	5475.7	33285	11472
"241"	3106197	2617771	3641902	1884054	3301835	3187788	3171682	3516704	1810187	2538477
"2768"	886160	752270	502690	548480	1420060	552950	1536680	512310	801580	778860
"3540"	6740860	5982917	5422292	2856367.7	5764607	4847602	5719938	5070860	3475502	5725468
"2080"	21791990	13850620	12737839	4964701	9828999	9731396	9614529	11757720	5387675	8770359
"1667"	3970150	4918545	4547510	1548714	2313659	2748860	2441232	4286020	4214950	3043620
"5643"	3120470	3041110	3399180	1636181	1937960	2464860	1955120	3783150	3884570	2472583
"4276"	257071	238370	195416	144137	209929	212056	256918	203642	162212	183412
"2562"	337032210	395622340	253415408	159207550	234924550	248853430	236007910	277332150	210545999	300435620
"4133"	194707	270564	204571	199504	316129	192214	337960	229574	185162.6	183550
"5601"	3436570	3805110	2720690	1145898	1845150	2111860	2073906	2325910	2510800	2845720
"4913"	5207840	4681271	5702649	3053831.3	2788290	5884865	2968652	5030466	3460895	3998472
"835"	4592197	1610342	1465003	1858828	2057861	1564869	2161147	1632496	1016331	1642364
"4269"	282550	157477	179408	139541	361120	276450	350580	154684	309340	93018
"3158"	2767668	1462281	5633400	2308582	3712811	4140033	3578297	5632060	2400214	3643580
"1688"	583968	501438	680967	612238	510230	984636	508182	505332	663033	641062
"6202"	27775640	13282620	20920840	6387373	28171400	24283000	28412830	20445960	9005753	22597850
"2334"	849994	1067329	607126	628677	576123	558339	562546	552683	563319	538140
